"Pais","Alfabetizacion","Desercion","Secundaria","SecundariaT","Credito","ViolenciaDom","RemuEquitativa","ObedecerEsposo","Acoso","Cuenta","Autoempleo","Empleo","Parlamento"
"Afghanistan",29.8,69.55477,36.69527,1.1011,0,0,0,0,1,7.2,92,15.5992002487183,27.0161290322581
"Albania",97.8,15.69739,89.1819,44.4915,1,1,1,1,1,38.1,52.9,17.7054996490479,29.5081967213115
"Angola",53.4072,85.35728,10.1675,12.2926,1,1,1,1,0,22.3,82.1,15.5992002487183,30
"Argentina",99.20877,6.41868,93.0542,43.9062,0,1,1,1,1,50.8,22.8,22.698299407959,40.8560311284047
"Armenia",99.7,13.26,88.05112,81.0701,0,1,0,1,0,40.9,38.1,18.1151008605957,23.4848484848485
"Australia",99.99,0.95797,92.69355,76.8863,1,1,1,1,1,99.2,11.9,58.7431983947754,30.4635761589404
"Bangladesh",62.25299,51.75478,72.27917,26.83901,0,1,0,1,1,35.8,67,21.9218006134033,20.9169054441261
"Belgium",99.99,1.73136,95.08123,67.63782,1,1,1,1,1,98.8,10.6,20.8589000701904,40.6666666666667
"Belize",70.3284,37.5221,73.3527,37.2706,0,1,0,1,1,52.3,32.2,26.3584003448486,9.375
"Bhutan",57.0836,22.34422,76.5469,13.78464,0,1,1,1,1,27.7,83.8,27.1000003814697,14.8936170212766
"Bolivia",88.58286,17.84266,76.97286,39.01879,1,1,1,1,1,53.9,71.4,35.0644989013672,53.0769230769231
"Brazil",92.34379,18.04,83.18157,49.50601,0,1,0,1,1,67.5,27,32.3685989379883,14.6198830409357
"Bulgaria",97.98,14.19997,87.85868,75.33677,1,1,1,1,1,73.6,8.3,19.118200302124,26.6666666666667
"Burkina Faso",32.6876,31.6926,31.69258,1.57192,0,0,0,1,1,34.5,90.2,21.923999786377,13.3858267716535
"Burundi",61.22,57.72,31.01462,3.83777,0,1,0,1,1,6.7,96.9,56.5,38.2113821138211
"Cambodia",75.03387,60.74,36.66987,4.65724,1,1,0,1,1,21.5,58.5,68.4490966796875,20
"Cameroon",71.6,58.44663,43.0281,11.47701,0,0,0,1,1,30,85.7,41.6622009277344,33.8888888888889
"Canada",99.99,15.16952,99.69423,84.88738,1,1,1,1,1,99.9,12,57.6399993896484,28.9940828402367
"Chile",96.74396,5.49541,89.88541,58.36588,0,1,0,1,1,71.3,25.2,24.2879009246826,22.5806451612903
"Colombia",94.41582,18.80498,80.16872,50.9783,0,1,0,1,1,42.5,48.6,35.0365982055664,18.3431952662722
"Costa Rica",97.9,12.28232,84.30884,40.76063,0,1,0,1,1,60.9,22.9,24.0510997772217,45.6140350877193
"Cote d'Ivoire",40.4994,66.90972,35.0588,6.9446,0,0,1,1,1,35.6,82.4,25.3500995635986,11.3725490196078
"Croatia",98.6,9.53465,94.05053,63.19986,1,1,1,1,1,82.7,9.8,21.880199432373,29.8013245033113
"Cyprus",98.1,5.06627,95.3969,71.68297,1,1,1,1,1,90,10,30.7082996368408,19.6428571428571
"Czech Republic",99.9,4.79664,91.49009,87.6156,1,1,1,1,1,78.6,12.1,24.2577991485596,22.5
"Denmark",99.99,11.57754,92.25643,80.42358,1,1,1,1,1,100,5.1,53.9404983520508,39.6648044692737
"Dominican Republic",92.32106,22.04489,74.54667,50.88674,1,1,0,1,1,54.1,30.5,25.8936004638672,27.8947368421053
"Ecuador",93.25662,21.6822,86.0294,43.15428,0,1,1,1,1,42.6,58.4,30.0566005706787,39.4160583941606
"Egypt",65.5057,25.43915,83.1251,67.4589,0,0,0,0,1,27,34.1,5.52229976654053,15.1006711409396
"El Salvador",86.2171,33.6196,62.55455,28.21115,1,1,0,1,1,24.4,45.7,28.4689998626709,33.3333333333333
"Estonia",99.9,5.0391,95.49697,90.70421,1,0,1,1,1,98.4,6.7,38.1801986694336,28.7128712871287
"Ethiopia",44.4,75.24028,30.3126,5.65992,0,1,0,1,1,29.1,89,67.6712036132813,38.7568555758684
"Finland",99.99,5.54675,96.3946,76.38666,1,1,1,1,1,99.6,9.2,45.1236991882324,46
"France",99.99,4.98958,95.32789,67.40809,1,1,1,1,1,91.3,8.3,27.8094997406006,39.5147313691508
"Georgia",99.29,8.97213,96.84329,91.91808,0,1,0,1,1,63.6,50.2,25.6513996124268,14.0939597315436
"Germany",99.99,11.86796,84.68996,80.11032,1,1,1,1,1,99.2,7.2,45.5144004821777,31.1706629055007
"Ghana",74.4,40.21776,58.78122,14.6786,0,1,0,1,1,53.7,82.5,29.7203998565674,13.0909090909091
"Greece",97.39,9.18182,92.61503,52.40942,1,1,1,1,1,84.5,28.2,12.4015998840332,21.6666666666667
"Guatemala",76.37,61.44013,42.97926,27.38647,0,1,0,1,0,42.1,49.7,28.6700000762939,19.375
"Guinea",30.7685,75.84315,25.5608,3.1602,1,0,1,1,1,19.7,96.8,49.4278984069824,16.6666666666667
"Honduras",87.8937,53.474,46.71862,24.31634,1,1,0,1,1,41,58.2,33.8336982727051,21.09375
"India",75.79,48.42,62.40373,19.43397,0,1,0,1,1,76.6,76.4,7.63030004501343,14.3646408839779
"Indonesia",93.33571,29.17422,79.88474,30.9907,0,1,0,1,0,51.4,58.3,34.6249008178711,20.3478260869565
"Iran",80.78,27.49,80.37532,48.8921,0,0,0,0,0,91.6,43.2,7.19999980926514,5.79710144927536
"Iraq",79.9,57.63986,40.25403,23.94748,0,0,1,0,1,19.5,9.6,1.79999995231628,26.4437689969605
"Ireland",98.563,0.15,98.72828,73.32244,1,1,1,1,1,95.3,7.7,41.035400390625,22.5
"Italy",98.97,4.88214,95.29366,48.22383,1,1,1,1,1,91.6,16.9,15.1505002975464,35.7142857142857
"Jordan",97.8321,45.81096,63.524,40.0821,0,1,0,0,0,26.6,3.4,4.77500009536743,15.3846153846154
"Kenya",78.1889,35.94917,45.79807,18.00121,0,1,1,1,1,77.7,59.6,40.2089996337891,21.7765042979943
"Kuwait",94.47005,16.96256,88.71225,39.28445,0,0,0,0,0,73.5,0.6,11.6000003814697,6.34920634920635
"Kyrgyz Republic",99.49972,27.1227,84.12084,87.08672,1,1,0,1,1,38.9,28.7,21.2000007629395,19.1666666666667
"Latvia",99.9,4.55059,94.93903,92.40525,1,1,1,1,1,92.5,9.5,29.4988994598389,30
"Lesotho",84.93,26.98691,50.02598,14.19079,0,0,1,1,1,46.5,19.6,21.9500007629395,23.3333333333333
"Luxembourg",99.054,16.76867,85.22662,75.72759,1,1,1,1,1,98.2,7.3,26.3281993865967,30
"Malawi",55.20411,61.76104,34.76096,2.38688,0,1,1,1,1,29.8,65.8,23.4629993438721,22.9166666666667
"Malaysia",93.5,32.05,75.42821,58.60864,0,1,0,0,1,82.5,25.6,31.5599994659424,14.4144144144144
"Mali",22.19581,75.23123,26.81248,3.96612,0,0,1,0,0,25.7,87.9,39.293098449707,27.891156462585
"Malta",95.98,8.49408,94.47046,43.32255,1,1,1,1,1,97,7.9,50.7290000915527,13.4328358208955
"Mauritius",90.65402,10.18631,87.0561,39.80234,1,1,1,1,1,87.1,14.7,29.5156993865967,20
"Mexico",93.4855,29.31315,82.50117,34.80266,1,1,0,1,1,33.3,31.9,29.7609996795654,48.2
"Moldova",99.14,38.41837,77.59551,73.99986,1,1,0,1,1,44.6,33.7,16.5046997070313,24.7524752475248
"Montenegro",98.27,11.95,89.75502,65.23196,1,1,1,1,1,67.6,13.4,23.5296993255615,29.6296296296296
"Mozambique",43.06246,73.02226,19.3244,6.19545,0,1,0,1,1,32.9,94.1,58.5856018066406,42.4
"Namibia",91.43,41.42,57.81182,16.29633,0,1,1,1,1,80.7,42.6,16.2422008514404,43.2692307692308
"Nepal",59.72,12.69,62.81848,10.21392,0,1,1,1,1,41.6,89.1,15.4375,32.7272727272727
"Netherlands",99.99,0.57019,93.74044,67.59427,1,1,1,1,1,99.8,13,63.5838012695313,33.3333333333333
"New Zealand",99,3.47476,97.71525,68.31899,1,1,0,1,1,99.3,14.3,53.0224990844727,40.8333333333333
"Niger",26.64,90.61918,17.06071,1.98776,0,0,1,1,1,10.9,97.6,7.29869985580444,16.9590643274854
"Oman",86.03721,7.40089,93.15358,63.17532,0,0,0,1,1,63.5,4.5,9.30000019073486,2.32558139534884
"Pakistan",46.46,61.34429,34.18399,21.41186,0,1,0,1,1,7,71,17.0307006835938,20.1754385964912
"Panama",94.88,30.83011,65.94409,45.81955,0,1,0,1,1,42.3,35.3,26.7390995025635,22.5352112676056
"Paraguay",94.87442,30.03,65.97249,39.30891,1,1,1,1,1,46,43.4,37.570499420166,16.25
"Peru",91.24653,21.04,87.71031,53.38368,1,1,1,1,1,34.4,59.4,52.723201751709,26.1538461538462
"Philippines",98.24175,17.07267,71.3301,60.11276,1,1,1,1,1,38.9,39.8,25.0496006011963,27.9605263157895
"Poland",98.25,6.64643,94.23769,82.542,1,1,1,1,1,88,15.6,25.1730995178223,28.695652173913
"Portugal",95.07,3.63,95.3391,39.11187,1,1,1,1,1,90.6,12.5,24.0839996337891,40
"Qatar",94.71,10.28,91.7859,60.10435,0,0,0,0,0,61.6,0.4,40.5800018310547,9.75609756097561
"Romania",98.59,18.85413,83.3281,62.60895,1,1,1,1,1,53.6,22.7,20.3649005889893,21.8844984802432
"Russian Federation",99.73,3.94,90.97303,83.93462,0,0,1,1,0,76.1,5.7,26.005500793457,15.7777777777778
"Rwanda",69.39,42.29,38.78909,8.27011,0,1,0,1,1,45,77.1,26.9016990661621,61.25
"Saudi Arabia",92.7,8.65,94.10711,52.60346,0,1,1,0,1,58.2,1.4,3.07999992370605,19.8675496688742
"Senegal",39.7986,61.87311,39.4246,5.00873,0,1,0,1,1,38.4,72.4,25.3400001525879,43.030303030303
"Serbia",98.22,9.16004,92.5323,66.23293,1,1,1,1,1,70.1,22.9,15.3250999450684,38.8
"Slovak Republic",99.64,11.1482,85.3043,83.3149,1,1,0,1,1,83.1,9.7,21.1320991516113,20
"Slovenia",99.59,2.4309,96.62219,78.4124,1,1,1,1,1,96.9,11.5,30.386100769043,27.7777777777778
"South Africa",93.40803,14.54208,78.52272,60.47858,1,1,1,1,1,70,12.6,10.0298004150391,46.4646464646465
"South Korea",97.61,3.5345,97.80743,70.38451,0,1,0,1,1,94.7,22.2,27.7493000030518,19
"Spain",97.54713,8.53788,97.75094,50.41531,1,1,1,1,1,91.6,11.7,19.7063007354736,44
"Sri Lanka",90.79,13.49,92.25549,64.32255,0,1,0,1,1,73.4,43.9,18.2371997833252,5.33333333333333
"Sweden",99,2.84783,99.46348,75.77895355,1,1,1,1,1,100,5.5,45.9683990478516,46.9914040114613
"Switzerland",99,19.42982,83.93147,82.52372742,0,1,1,1,1,98.9,12.4,62.3558006286621,41.5
"Tajikistan",99.7,48.08295,78.77399,76.13938,1,1,1,1,0,42.1,46.6,20.6378002166748,23.8095238095238
"Tanzania",73.09383,87.72,27.31307,2.28588,0,0,1,1,1,42.2,89.6,67.160400390625,36.8956743002545
"Thailand",91.19193,20.96038,77.54404,32.64234,0,1,0,1,1,79.8,50.8,31.699499130249,15.7464212678937
"Togo",51.24178,65.99,33.45215,3.03632,0,0,1,1,1,37.6,88.7,25.7777004241943,18.6813186813187
"Trinidad and Tobago",98.3,23.65902,75.16607,56.62501,1,1,0,1,0,73.6,16,32.4620018005371,30.952380952381
"Turkey",92.64581,16.17541,86.04436,32.61719,0,1,1,1,1,54.3,32.2,23.0216007232666,17.3174872665535
"Uganda",70.8381,78.66385,21.04045,6.34869,0,1,1,1,1,52.7,84.9,27.6819000244141,34.8583877995643
"Ukraine",99.9582,4.31127,86.08094,71.11248,1,1,0,1,1,61.3,13.3,24.8899993896484,20.8037825059102
"United Arab Emirates",95.09761,18.96,90.32952,65.53579,0,0,0,0,0,76.4,3.5,28.9146995544434,50
"United Kingdom",99.9,3.3,97.23472,76.67328,1,1,1,1,1,96.1,10.8,50.7574996948242,33.8461538461538
"United States",77,4.94821,93.03496,90.1592,1,1,0,1,1,92.7,5.1,49.8764991760254,23.4338747099768
"Uruguay",98.86746,17.90455,91.12043,33.78411,0,1,1,1,1,60.6,24,28.8626003265381,21.2121212121212
"Venezuela",96.56007,26.21113,76.7969,65.17639,0,1,0,1,1,70,37.2,22.282600402832,22.1556886227545
"Zimbabwe",88.28383,50.3843,48.5126,9.35805,1,1,0,1,1,51.7,74.8,65.3406982421875,31.8518518518519
